"filename", "language", "Dart", "comment", "blank", "total"
"/Users/stai/Documents/dev/stackremote/lib/authentication_layer.dart", "Dart", -28, -5, -6, -39
"/Users/stai/Documents/dev/stackremote/lib/channel/channel.dart", "Dart", -5, 0, -3, -8
"/Users/stai/Documents/dev/stackremote/lib/channel/domain/channel.dart", "Dart", -52, -26, -16, -94
"/Users/stai/Documents/dev/stackremote/lib/channel/domain/channel_repository.dart", "Dart", -17, 0, -8, -25
"/Users/stai/Documents/dev/stackremote/lib/channel/infrastructure/channel_repository_firestore.dart", "Dart", -99, -23, -27, -149
"/Users/stai/Documents/dev/stackremote/lib/channel/usecace/channel_get_usecase.dart", "Dart", -16, 0, -7, -23
"/Users/stai/Documents/dev/stackremote/lib/channel/usecace/channel_set_usecase.dart", "Dart", -20, 0, -8, -28
"/Users/stai/Documents/dev/stackremote/lib/common/common.dart", "Dart", -30, 0, -6, -36
"/Users/stai/Documents/dev/stackremote/lib/common/design/design_background_image_layer.dart", "Dart", -23, 0, -4, -27
"/Users/stai/Documents/dev/stackremote/lib/common/design/design_nested_layer.dart", "Dart", -21, 0, -5, -26
"/Users/stai/Documents/dev/stackremote/lib/common/design/design_theme_layer.dart", "Dart", -44, -7, -7, -58
"/Users/stai/Documents/dev/stackremote/lib/common/local_storage/get_bool_usecase.dart", "Dart", -17, 0, -8, -25
"/Users/stai/Documents/dev/stackremote/lib/common/local_storage/get_string_usecase.dart", "Dart", -17, 0, -8, -25
"/Users/stai/Documents/dev/stackremote/lib/common/local_storage/local_storage_repository.dart", "Dart", -21, 0, -7, -28
"/Users/stai/Documents/dev/stackremote/lib/common/local_storage/local_storage_repository_shared_preferences.dart", "Dart", -53, -1, -16, -70
"/Users/stai/Documents/dev/stackremote/lib/common/local_storage/set_bool_usecase.dart", "Dart", -19, -1, -8, -28
"/Users/stai/Documents/dev/stackremote/lib/common/local_storage/set_string_usecase.dart", "Dart", -19, -1, -8, -28
"/Users/stai/Documents/dev/stackremote/lib/common/local_storage/shared_preferences_instance.dart", "Dart", -20, -10, -10, -40
"/Users/stai/Documents/dev/stackremote/lib/common/util/dotenv.dart", "Dart", -7, -5, -3, -15
"/Users/stai/Documents/dev/stackremote/lib/common/util/firebase_crashlytics_initialize.dart", "Dart", -11, -3, -3, -17
"/Users/stai/Documents/dev/stackremote/lib/common/util/firebase_firestore_instance.dart", "Dart", -6, 0, -3, -9
"/Users/stai/Documents/dev/stackremote/lib/common/util/firebase_initialize.dart", "Dart", -13, -5, -6, -24
"/Users/stai/Documents/dev/stackremote/lib/common/util/json_converter.dart", "Dart", -91, -30, -25, -146
"/Users/stai/Documents/dev/stackremote/lib/common/util/logger.dart", "Dart", -24, -11, -11, -46
"/Users/stai/Documents/dev/stackremote/lib/common/util/min_max.dart", "Dart", -19, 0, -4, -23
"/Users/stai/Documents/dev/stackremote/lib/common/util/release_env.dart", "Dart", -24, -15, -6, -45
"/Users/stai/Documents/dev/stackremote/lib/common/util/set_preferred_orientations_portrait_up.dart", "Dart", -8, 0, -3, -11
"/Users/stai/Documents/dev/stackremote/lib/common/util/stackremote_exception.dart", "Dart", -30, -38, -13, -81
"/Users/stai/Documents/dev/stackremote/lib/common/validation/validation.dart", "Dart", -18, 0, -4, -22
"/Users/stai/Documents/dev/stackremote/lib/common/validation/validator.dart", "Dart", -33, 0, -12, -45
"/Users/stai/Documents/dev/stackremote/lib/common/widget/appbar_action_icon_state.dart", "Dart", -50, -15, -11, -76
"/Users/stai/Documents/dev/stackremote/lib/common/widget/appbar_action_icon_widget.dart", "Dart", -26, 0, -6, -32
"/Users/stai/Documents/dev/stackremote/lib/common/widget/description_message_widget.dart", "Dart", -30, 0, -6, -36
"/Users/stai/Documents/dev/stackremote/lib/common/widget/name_field_state.dart", "Dart", -92, -15, -15, -122
"/Users/stai/Documents/dev/stackremote/lib/common/widget/name_field_widget.dart", "Dart", -42, -6, -12, -60
"/Users/stai/Documents/dev/stackremote/lib/common/widget/on_submit_button_state.dart", "Dart", -49, -15, -10, -74
"/Users/stai/Documents/dev/stackremote/lib/common/widget/on_submit_button_widget.dart", "Dart", -30, 0, -6, -36
"/Users/stai/Documents/dev/stackremote/lib/common/widget/package_info_widget.dart", "Dart", -48, -7, -9, -64
"/Users/stai/Documents/dev/stackremote/lib/common/widget/progress_state.dart", "Dart", -24, -13, -8, -45
"/Users/stai/Documents/dev/stackremote/lib/common/widget/progress_widget.dart", "Dart", -21, 0, -6, -27
"/Users/stai/Documents/dev/stackremote/lib/common/widget/scaffold_body_base_layout_widget.dart", "Dart", -48, -1, -6, -55
"/Users/stai/Documents/dev/stackremote/lib/main.dart", "Dart", -31, -8, -12, -51
"/Users/stai/Documents/dev/stackremote/lib/menu/menu.dart", "Dart", -2, 0, -2, -4
"/Users/stai/Documents/dev/stackremote/lib/menu/menu_routing_layer.dart", "Dart", -70, -24, -20, -114
"/Users/stai/Documents/dev/stackremote/lib/menu/presentation/widget/menu_widget.dart", "Dart", -100, -8, -14, -122
"/Users/stai/Documents/dev/stackremote/lib/onboarding/onboarding.dart", "Dart", -1, 0, -1, -2
