Date : 2023-02-14 11:17:56
Directory : /Users/stai/Documents/dev/stackremote/lib/authentication
Total : 118 files,  -5296 codes, -994 comments, -1459 blanks, all -7749 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        118 |     -5,296 |       -994 |     -1,459 |     -7,749 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        118 |     -5,296 |       -994 |     -1,459 |     -7,749 |
| ..                                                                                                              |        118 |     -5,296 |       -994 |     -1,459 |     -7,749 |
| .. (Files)                                                                                                      |          3 |        -91 |        -15 |        -31 |       -137 |
| ../channel                                                                                                      |          6 |       -209 |        -49 |        -69 |       -327 |
| ../channel (Files)                                                                                              |          1 |         -5 |          0 |         -3 |         -8 |
| ../channel/domain                                                                                               |          2 |        -69 |        -26 |        -24 |       -119 |
| ../channel/infrastructure                                                                                       |          1 |        -99 |        -23 |        -27 |       -149 |
| ../channel/usecace                                                                                              |          2 |        -36 |          0 |        -15 |        -51 |
| ../common                                                                                                       |         34 |     -1,028 |       -199 |       -275 |     -1,502 |
| ../common (Files)                                                                                               |          1 |        -30 |          0 |         -6 |        -36 |
| ../common/design                                                                                                |          3 |        -88 |         -7 |        -16 |       -111 |
| ../common/local_storage                                                                                         |          7 |       -166 |        -13 |        -65 |       -244 |
| ../common/util                                                                                                  |         10 |       -233 |       -107 |        -77 |       -417 |
| ../common/validation                                                                                            |          2 |        -51 |          0 |        -16 |        -67 |
| ../common/widget                                                                                                |         11 |       -460 |        -72 |        -95 |       -627 |
| ../menu                                                                                                         |          3 |       -172 |        -32 |        -36 |       -240 |
| ../menu (Files)                                                                                                 |          2 |        -72 |        -24 |        -22 |       -118 |
| ../menu/presentation                                                                                            |          1 |       -100 |         -8 |        -14 |       -122 |
| ../menu/presentation/widget                                                                                     |          1 |       -100 |         -8 |        -14 |       -122 |
| ../onboarding                                                                                                   |          8 |       -364 |        -10 |        -60 |       -434 |
| ../onboarding (Files)                                                                                           |          1 |         -1 |          0 |         -1 |         -2 |
| ../onboarding/presentation                                                                                      |          7 |       -363 |        -10 |        -59 |       -432 |
| ../onboarding/presentation/page                                                                                 |          2 |        -81 |         -2 |        -13 |        -96 |
| ../onboarding/presentation/widget                                                                               |          5 |       -282 |         -8 |        -46 |       -336 |
